"date","mean_ndvi_masked","year"
2002-07-12,0.197950901286233,2002
2002-07-28,0.192532923693458,2002
2002-08-13,0.185833853053449,2002
2002-08-29,0.180771120383074,2002
2002-09-14,0.174039553517281,2002
2002-09-30,0.175556200375753,2002
2002-10-16,0.170144667724768,2002
2002-11-01,0.163363559143027,2002
2002-11-17,0.160298658375928,2002
2002-12-03,0.160555707212694,2002
2002-12-19,0.191831321416501,2002
2003-01-01,0.183816636630226,2003
2003-01-17,0.178783420758274,2003
2003-02-02,0.192888909610805,2003
2003-02-18,0.216590717637896,2003
2003-03-06,0.196428448143973,2003
2003-03-22,0.187504690040295,2003
2003-04-07,0.187435816301078,2003
2003-04-23,0.1937828786126,2003
2003-05-09,0.202859439786924,2003
2003-05-25,0.185882377078334,2003
2003-06-10,0.18531585873342,2003
2003-06-26,0.179382797754278,2003
2003-07-12,0.173279689108374,2003
2003-07-28,0.168956385033221,2003
2003-08-13,0.164781496020936,2003
2003-08-29,0.165532237352784,2003
2003-09-14,0.157585139435565,2003
2003-09-30,0.161934136352894,2003
2003-10-16,0.153229203847322,2003
2003-11-01,0.15013910408838,2003
2003-11-17,0.172519830002887,2003
2003-12-03,0.176356589925158,2003
2003-12-19,0.164841430888071,2003
2004-01-01,0.177396776781125,2004
2004-01-17,0.239403453119452,2004
2004-02-02,0.190636555417156,2004
2004-02-18,0.186340131093653,2004
2004-03-05,0.179194123851947,2004
2004-03-21,0.183415119235332,2004
2004-04-06,0.200025925698949,2004
2004-04-22,0.209146901202009,2004
2004-05-08,0.200190430317564,2004
2004-05-24,0.197258587214846,2004
2004-06-09,0.192314060773826,2004
2004-06-25,0.194448863358601,2004
2004-07-11,0.182604323808862,2004
2004-07-27,0.179859222596989,2004
2004-08-12,0.176245019877259,2004
2004-08-28,0.169604154452996,2004
2004-09-13,0.166888432405745,2004
2004-09-29,0.158592462810893,2004
2004-10-15,0.161126096923273,2004
2004-10-31,0.189866518974304,2004
2004-11-16,0.188542332307833,2004
2004-12-02,0.200574325166479,2004
2004-12-18,0.184449892518294,2004
2005-01-01,0.176785389759711,2005
2005-01-17,0.226900746779782,2005
2005-02-02,0.20481849866614,2005
2005-02-18,0.202146831072914,2005
2005-03-06,0.204842210286542,2005
2005-03-22,0.23263883945189,2005
2005-04-07,0.246132293470362,2005
2005-04-23,0.23348643396129,2005
2005-05-09,0.220777617211927,2005
2005-05-25,0.211255519569182,2005
2005-06-10,0.206164858888364,2005
2005-06-26,0.194525390136533,2005
2005-07-12,0.187285019184953,2005
2005-07-28,0.184442821818013,2005
2005-08-13,0.17596667977338,2005
2005-08-29,0.173846261003583,2005
2005-09-14,0.172329023480415,2005
2005-09-30,0.17139640224895,2005
2005-10-16,0.167931965156292,2005
2005-11-01,0.166032977898916,2005
2005-11-17,0.164857244557805,2005
2005-12-03,0.160547025089568,2005
2005-12-19,0.166580702063251,2005
2006-01-01,0.174268543949494,2006
2006-01-17,0.306580113644128,2006
2006-02-02,0.354443793209781,2006
2006-02-18,0.362167367563311,2006
2006-03-06,0.364096657700009,2006
2006-03-22,0.328628849652078,2006
2006-04-07,0.294842915240882,2006
2006-04-23,0.253139833701003,2006
2006-05-09,0.241479468711636,2006
2006-05-25,0.220793895628817,2006
2006-06-10,0.208527134693399,2006
2006-06-26,0.188872405574942,2006
2006-07-12,0.190440508062733,2006
2006-07-28,0.184166904332455,2006
2006-08-13,0.182413830259896,2006
2006-08-29,0.178463374224046,2006
2006-09-14,0.176430087526744,2006
2006-09-30,0.178517019803732,2006
2006-10-16,0.183852113743303,2006
2006-11-01,0.183064443797901,2006
2006-11-17,0.173840490064304,2006
2006-12-03,0.16814890781192,2006
2006-12-19,0.189701895041583,2006
2007-01-01,0.191466243311577,2007
2007-01-17,0.199816414614931,2007
2007-02-02,0.200667446691119,2007
2007-02-18,0.20782337125071,2007
2007-03-06,0.199382097964879,2007
2007-03-22,0.200527790207934,2007
2007-04-07,0.197275709836756,2007
2007-04-23,0.205140461152346,2007
2007-05-09,0.21001247313101,2007
2007-05-25,0.198435566235036,2007
2007-06-10,0.191496564709034,2007
2007-06-26,0.179203073081282,2007
2007-07-12,0.177307694712106,2007
2007-07-28,0.177145715145504,2007
2007-08-13,0.171763287471613,2007
2007-08-29,0.168355806532476,2007
2007-09-14,0.171084163556422,2007
2007-09-30,0.164313321723078,2007
2007-10-16,0.172111483389596,2007
2007-11-01,0.197699787007773,2007
2007-11-17,0.21571335911966,2007
2007-12-03,0.233042559796764,2007
2007-12-19,0.244420941228107,2007
2008-01-01,0.203043235236243,2008
2008-01-17,0.369703125055522,2008
2008-02-02,0.367977015325956,2008
2008-02-18,0.283625791980841,2008
2008-03-05,0.317884754682087,2008
2008-03-21,0.273731900837409,2008
2008-04-06,0.221955955250939,2008
2008-04-22,0.204214260593724,2008
2008-05-08,0.199724914190266,2008
2008-05-24,0.199976022165127,2008
2008-06-09,0.194017647002258,2008
2008-06-25,0.179436743376302,2008
2008-07-11,0.169011318658685,2008
2008-07-27,0.168213577512418,2008
2008-08-12,0.168721918478485,2008
2008-08-28,0.166145322244029,2008
2008-09-13,0.166669679255138,2008
2008-09-29,0.162334594408028,2008
2008-10-15,0.162868110422235,2008
2008-10-31,0.161412161033954,2008
2008-11-16,0.161660830527544,2008
2008-12-02,0.181823684152035,2008
2008-12-18,0.168920179972282,2008
2009-01-01,0.173453092394999,2009
2009-01-17,0.202645947880975,2009
2009-02-02,0.227655817856308,2009
2009-02-18,0.26797519002308,2009
2009-03-06,0.279123982503301,2009
