"year","experiment","model","Longitude","Latitude","tmax35","tmax37"
2000,"historical","EC-Earth3-CC",11.953125,-17.8947,11,3
2000,"historical","EC-Earth3-CC",11.953125,-17.19295,25,4
2000,"historical","EC-Earth3-CC",11.953125,-16.4912,53,6
2000,"historical","EC-Earth3-CC",11.953125,-15.78944,39,2
2000,"historical","EC-Earth3-CC",11.953125,-15.08769,0,0
2000,"historical","EC-Earth3-CC",11.953125,-14.38594,0,0
2000,"historical","EC-Earth3-CC",12.65625,-34.73677,0,0
2000,"historical","EC-Earth3-CC",12.65625,-34.03502,0,0
2000,"historical","EC-Earth3-CC",12.65625,-33.33326,0,0
2000,"historical","EC-Earth3-CC",12.65625,-32.63151,0,0
2000,"historical","EC-Earth3-CC",12.65625,-31.92976,0,0
2000,"historical","EC-Earth3-CC",12.65625,-31.228,0,0
2000,"historical","EC-Earth3-CC",12.65625,-30.52625,0,0
2000,"historical","EC-Earth3-CC",12.65625,-29.8245,0,0
2000,"historical","EC-Earth3-CC",12.65625,-29.12275,0,0
2000,"historical","EC-Earth3-CC",12.65625,-28.42099,0,0
2000,"historical","EC-Earth3-CC",12.65625,-27.71924,0,0
2000,"historical","EC-Earth3-CC",12.65625,-27.01749,0,0
2000,"historical","EC-Earth3-CC",12.65625,-26.31573,0,0
2000,"historical","EC-Earth3-CC",12.65625,-25.61398,0,0
2000,"historical","EC-Earth3-CC",12.65625,-24.91223,0,0
2000,"historical","EC-Earth3-CC",12.65625,-24.21048,0,0
2000,"historical","EC-Earth3-CC",12.65625,-23.50872,0,0
2000,"historical","EC-Earth3-CC",12.65625,-22.80697,0,0
2000,"historical","EC-Earth3-CC",12.65625,-22.10522,0,0
2000,"historical","EC-Earth3-CC",12.65625,-21.40347,0,0
2000,"historical","EC-Earth3-CC",12.65625,-20.70171,0,0
2000,"historical","EC-Earth3-CC",12.65625,-19.99996,0,0
2000,"historical","EC-Earth3-CC",12.65625,-19.29821,0,0
2000,"historical","EC-Earth3-CC",12.65625,-18.59645,11,2
2000,"historical","EC-Earth3-CC",12.65625,-17.8947,49,21
2000,"historical","EC-Earth3-CC",12.65625,-17.19295,43,14
2000,"historical","EC-Earth3-CC",12.65625,-16.4912,36,8
2000,"historical","EC-Earth3-CC",12.65625,-15.78944,21,4
2000,"historical","EC-Earth3-CC",12.65625,-15.08769,0,0
2000,"historical","EC-Earth3-CC",12.65625,-14.38594,0,0
2000,"historical","EC-Earth3-CC",13.359375,-34.73677,0,0
2000,"historical","EC-Earth3-CC",13.359375,-34.03502,0,0
2000,"historical","EC-Earth3-CC",13.359375,-33.33326,0,0
2000,"historical","EC-Earth3-CC",13.359375,-32.63151,0,0
2000,"historical","EC-Earth3-CC",13.359375,-31.92976,0,0
2000,"historical","EC-Earth3-CC",13.359375,-31.228,0,0
2000,"historical","EC-Earth3-CC",13.359375,-30.52625,0,0
2000,"historical","EC-Earth3-CC",13.359375,-29.8245,0,0
2000,"historical","EC-Earth3-CC",13.359375,-29.12275,0,0
2000,"historical","EC-Earth3-CC",13.359375,-28.42099,0,0
2000,"historical","EC-Earth3-CC",13.359375,-27.71924,0,0
2000,"historical","EC-Earth3-CC",13.359375,-27.01749,0,0
2000,"historical","EC-Earth3-CC",13.359375,-26.31573,0,0
2000,"historical","EC-Earth3-CC",13.359375,-25.61398,0,0
2000,"historical","EC-Earth3-CC",13.359375,-24.91223,0,0
2000,"historical","EC-Earth3-CC",13.359375,-24.21048,0,0
2000,"historical","EC-Earth3-CC",13.359375,-23.50872,0,0
2000,"historical","EC-Earth3-CC",13.359375,-22.80697,0,0
2000,"historical","EC-Earth3-CC",13.359375,-22.10522,0,0
2000,"historical","EC-Earth3-CC",13.359375,-21.40347,0,0
2000,"historical","EC-Earth3-CC",13.359375,-20.70171,0,0
2000,"historical","EC-Earth3-CC",13.359375,-19.99996,0,0
2000,"historical","EC-Earth3-CC",13.359375,-19.29821,8,0
2000,"historical","EC-Earth3-CC",13.359375,-18.59645,29,1
2000,"historical","EC-Earth3-CC",13.359375,-17.8947,13,2
2000,"historical","EC-Earth3-CC",13.359375,-17.19295,32,5
2000,"historical","EC-Earth3-CC",13.359375,-16.4912,23,1
2000,"historical","EC-Earth3-CC",13.359375,-15.78944,14,0
2000,"historical","EC-Earth3-CC",13.359375,-15.08769,0,0
2000,"historical","EC-Earth3-CC",13.359375,-14.38594,0,0
2000,"historical","EC-Earth3-CC",14.0625,-34.73677,0,0
2000,"historical","EC-Earth3-CC",14.0625,-34.03502,0,0
2000,"historical","EC-Earth3-CC",14.0625,-33.33326,0,0
2000,"historical","EC-Earth3-CC",14.0625,-32.63151,0,0
2000,"historical","EC-Earth3-CC",14.0625,-31.92976,0,0
2000,"historical","EC-Earth3-CC",14.0625,-31.228,0,0
2000,"historical","EC-Earth3-CC",14.0625,-30.52625,0,0
2000,"historical","EC-Earth3-CC",14.0625,-29.8245,0,0
2000,"historical","EC-Earth3-CC",14.0625,-29.12275,0,0
2000,"historical","EC-Earth3-CC",14.0625,-28.42099,0,0
2000,"historical","EC-Earth3-CC",14.0625,-27.71924,0,0
2000,"historical","EC-Earth3-CC",14.0625,-27.01749,0,0
2000,"historical","EC-Earth3-CC",14.0625,-26.31573,0,0
2000,"historical","EC-Earth3-CC",14.0625,-25.61398,0,0
2000,"historical","EC-Earth3-CC",14.0625,-24.91223,0,0
2000,"historical","EC-Earth3-CC",14.0625,-24.21048,0,0
2000,"historical","EC-Earth3-CC",14.0625,-23.50872,0,0
2000,"historical","EC-Earth3-CC",14.0625,-22.80697,0,0
2000,"historical","EC-Earth3-CC",14.0625,-22.10522,0,0
2000,"historical","EC-Earth3-CC",14.0625,-21.40347,0,0
2000,"historical","EC-Earth3-CC",14.0625,-20.70171,40,4
2000,"historical","EC-Earth3-CC",14.0625,-19.99996,38,5
2000,"historical","EC-Earth3-CC",14.0625,-19.29821,29,1
2000,"historical","EC-Earth3-CC",14.0625,-18.59645,15,1
2000,"historical","EC-Earth3-CC",14.0625,-17.8947,24,3
2000,"historical","EC-Earth3-CC",14.0625,-17.19295,44,9
2000,"historical","EC-Earth3-CC",14.0625,-16.4912,21,2
2000,"historical","EC-Earth3-CC",14.0625,-15.78944,7,0
2000,"historical","EC-Earth3-CC",14.0625,-15.08769,0,0
2000,"historical","EC-Earth3-CC",14.0625,-14.38594,0,0
2000,"historical","EC-Earth3-CC",14.765625,-34.73677,0,0
2000,"historical","EC-Earth3-CC",14.765625,-34.03502,0,0
2000,"historical","EC-Earth3-CC",14.765625,-33.33326,0,0
2000,"historical","EC-Earth3-CC",14.765625,-32.63151,0,0
2000,"historical","EC-Earth3-CC",14.765625,-31.92976,0,0
2000,"historical","EC-Earth3-CC",14.765625,-31.228,0,0
2000,"historical","EC-Earth3-CC",14.765625,-30.52625,0,0
2000,"historical","EC-Earth3-CC",14.765625,-29.8245,0,0
2000,"historical","EC-Earth3-CC",14.765625,-29.12275,0,0
2000,"historical","EC-Earth3-CC",14.765625,-28.42099,0,0
2000,"historical","EC-Earth3-CC",14.765625,-27.71924,0,0
2000,"historical","EC-Earth3-CC",14.765625,-27.01749,0,0
2000,"historical","EC-Earth3-CC",14.765625,-26.31573,0,0
2000,"historical","EC-Earth3-CC",14.765625,-25.61398,0,0
2000,"historical","EC-Earth3-CC",14.765625,-24.91223,22,5
2000,"historical","EC-Earth3-CC",14.765625,-24.21048,26,5
2000,"historical","EC-Earth3-CC",14.765625,-23.50872,16,2
2000,"historical","EC-Earth3-CC",14.765625,-22.80697,0,0
2000,"historical","EC-Earth3-CC",14.765625,-22.10522,27,3
2000,"historical","EC-Earth3-CC",14.765625,-21.40347,35,4
2000,"historical","EC-Earth3-CC",14.765625,-20.70171,63,10
2000,"historical","EC-Earth3-CC",14.765625,-19.99996,34,7
2000,"historical","EC-Earth3-CC",14.765625,-19.29821,25,2
2000,"historical","EC-Earth3-CC",14.765625,-18.59645,29,6
2000,"historical","EC-Earth3-CC",14.765625,-17.8947,40,9
2000,"historical","EC-Earth3-CC",14.765625,-17.19295,35,8
2000,"historical","EC-Earth3-CC",14.765625,-16.4912,28,6
2000,"historical","EC-Earth3-CC",14.765625,-15.78944,24,5
2000,"historical","EC-Earth3-CC",14.765625,-15.08769,20,0
2000,"historical","EC-Earth3-CC",14.765625,-14.38594,0,0
2000,"historical","EC-Earth3-CC",15.46875,-34.73677,0,0
2000,"historical","EC-Earth3-CC",15.46875,-34.03502,0,0
2000,"historical","EC-Earth3-CC",15.46875,-33.33326,0,0
2000,"historical","EC-Earth3-CC",15.46875,-32.63151,0,0
2000,"historical","EC-Earth3-CC",15.46875,-31.92976,0,0
2000,"historical","EC-Earth3-CC",15.46875,-31.228,0,0
2000,"historical","EC-Earth3-CC",15.46875,-30.52625,0,0
2000,"historical","EC-Earth3-CC",15.46875,-29.8245,0,0
2000,"historical","EC-Earth3-CC",15.46875,-29.12275,0,0
2000,"historical","EC-Earth3-CC",15.46875,-28.42099,0,0
2000,"historical","EC-Earth3-CC",15.46875,-27.71924,0,0
2000,"historical","EC-Earth3-CC",15.46875,-27.01749,0,0
2000,"historical","EC-Earth3-CC",15.46875,-26.31573,0,0
2000,"historical","EC-Earth3-CC",15.46875,-25.61398,35,10
2000,"historical","EC-Earth3-CC",15.46875,-24.91223,59,18
2000,"historical","EC-Earth3-CC",15.46875,-24.21048,49,8
2000,"historical","EC-Earth3-CC",15.46875,-23.50872,45,12
2000,"historical","EC-Earth3-CC",15.46875,-22.80697,22,2
2000,"historical","EC-Earth3-CC",15.46875,-22.10522,35,4
2000,"historical","EC-Earth3-CC",15.46875,-21.40347,26,2
2000,"historical","EC-Earth3-CC",15.46875,-20.70171,27,2
2000,"historical","EC-Earth3-CC",15.46875,-19.99996,26,2
2000,"historical","EC-Earth3-CC",15.46875,-19.29821,33,6
2000,"historical","EC-Earth3-CC",15.46875,-18.59645,49,18
